Votes,Score,English_Name,Favourites_count,Popularity_ranking
97672,6,One Punch Man 2nd Season,,65
36425,5,One Punch Man 2nd Season,,65
17098,4,One Punch Man 2nd Season,,65
5644,3,One Punch Man 2nd Season,,65
2197,2,One Punch Man 2nd Season,,65
2055,1,One Punch Man 2nd Season,,65
73133,10,Highschool of the Dead,,66
96341,9,Highschool of the Dead,,66
174788,8,Highschool of the Dead,,66
215343,7,Highschool of the Dead,,66
127052,6,Highschool of the Dead,,66
65079,5,Highschool of the Dead,,66
33848,4,Highschool of the Dead,,66
16424,3,Highschool of the Dead,,66
9836,2,Highschool of the Dead,,66
6659,1,Highschool of the Dead,,66
128323,10,Fate/Zero,,67
213509,9,Fate/Zero,,67
226691,8,Fate/Zero,,67
110786,7,Fate/Zero,,67
33478,6,Fate/Zero,,67
12532,5,Fate/Zero,,67
4628,4,Fate/Zero,,67
1659,3,Fate/Zero,,67
881,2,Fate/Zero,,67
